orbit_id,epoch,x,y,z,vx,vy,vz,H,G
202930 Ivezic (1998 SG172),59000.00080075155,0.5686865404478443,-2.493759666885636,-0.1822979039323787,0.01040687053301585,0.003675568064076476,0.0004831131361998004,16.65,0.15
110 Lydia (A870 HA),59000.00080075155,-0.2164606842203269,-2.64360724486515,-0.1320024341455825,0.01066419306007782,-6.587170191459684e-06,-0.0009330217015021896,7.85,0.2
887 Alinda (A918 AA),59000.00080075155,2.286465919069115,-1.340967204293403,-0.2770125411196863,-0.0008312979356380898,0.01007696098463758,-0.000453169847023031,13.87,-0.12
6489 Golevka (1991 JX),59000.00080075155,0.9208848090938756,3.432801128362443,-0.100202651410709,-0.004957815473427989,0.004766137376341934,-0.0002608778157212335,19.2,0.15
176014 Vedrana (2000 RS106),59000.00080075155,-0.8617577013185336,-3.534228990964958,-0.6497415736820262,0.007426140464444184,-0.003004616349378628,-0.0006359385290553893,15.43,0.15
136199 Eris (2003 UB313),59000.00080075155,86.11796496129715,37.67335430561901,-19.39995841471327,-0.0004040425677306205,0.000887782291784604,0.0009243590847130671,-1.11,0.15
15760 Albion (1992 QB1),59000.00080075155,32.18868803206459,26.04568547385528,1.00671259015587,-0.001637679740123297,0.002205277655614905,8.314085027734721e-05,7.3,0.15
(2018 VP1),59000.00080075155,-0.6346986382948191,-1.373676240274639,-0.03674505666809409,0.0142943065420319,0.000152782389760973,-0.0005117924320858909,30.9,0.15
Bennu (2101955),59000.00080075155,-0.8848874571763711,0.5462443525759307,0.06098266472346139,-0.01187148715728982,-0.01275476292685923,-0.001303481761687995,,
99942 Apophis (2004 MN4),59000.00080075155,-0.9498601010794111,-0.35535782606327,-0.003647694421965686,0.008088734719677564,-0.01401796887090813,0.0009385629394416611,19.7,0.25
5261 Eureka (1990 MB),59000.00080075155,-0.8251200126534758,-1.298645182131436,-0.07393957809170597,0.01125248382175097,-0.00637659681588681,0.004764510317133396,16.13,0.15
624 Hektor (A907 CF),59000.00080075155,5.279056585771669,0.6895037896613174,0.7282423224072391,-0.001253007368459761,0.006937261737779167,0.002051744231526912,7.32,0.15
588 Achilles (A906 DN),59000.00080075155,5.086464065245891,-1.411867379218658,0.4505239116880567,0.0008010362775104821,0.00728911577725243,0.001063663345783739,8.26,0.15
10199 Chariklo (1997 CU26),59000.00080075155,7.229752614794546,-14.74101074233926,-0.5326481042248861,0.003714185848823743,0.0009965152728386739,0.001600375851119194,6.57,0.15
136472 Makemake (2005 FY9),59000.00080075155,-46.18624076657537,-4.660953085112948,24.70007510067654,1.194186861343599e-05,-0.002166064163872512,-0.0002227019809603068,-0.12,0.15
136199 Eris (2003 UB313),59000.00080075155,86.11796496129715,37.67335430561901,-19.39995841471327,-0.0004040425677306205,0.000887782291784604,0.0009243590847130671,-1.11,0.15
(2008 TC3),59000.00080075155,-0.09882249516917525,0.6232048442086009,-0.005387507406097614,-0.02116740736941827,-0.0102674371294897,8.483183188860755e-05,30.4,0.15
(2020 VT4),59000.00080075155,0.2164496504942859,-1.446829499251107,0.2451345604076334,0.01213323704656321,0.004921713382547052,0.001478991855710767,28.7,0.15
433 Eros (A898 PA),59000.00080075155,1.481887286376074,0.234293072277297,0.2594625657173398,-0.005151420365831046,0.01260622668136475,0.0005448970167399743,10.43,0.46
367943 Duende (2012 DA14),59000.00080075155,0.08238396320851425,-0.8581094175449755,0.1385021318479509,0.01838337710424477,0.002875499470515915,-0.00255529198208577,24.0,0.15
(2019 OK),59000.00080075155,-2.457233790815467,-1.414453910402847,-0.1033917597749395,-0.00124967030076312,-0.006964041461447865,-0.0001734881471106355,23.3,0.15
(2020 AV2),59000.00080075155,0.4519347716289682,0.4323488041344232,0.1070455724539438,-0.01545642022353499,0.01206961589101496,0.00392071960369168,16.17,0.15
1I/'Oumuamua (A/2017 U1),59000.00080075155,16.57407577976607,2.950891885180236,6.559014174360794,0.01479720490723996,0.002218036494116478,0.006451310754410158,22.08,0.15
